City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
304,teguldet,57.3064,88.1667,258.65,92,100,4.75,RU,1670423259
305,wanning,18.8003,110.3967,294.11,88,100,4.96,CN,1670423260
306,lahat,-3.8,103.5333,296.55,98,100,0.65,ID,1670423260
307,tailai,46.3833,123.4,259.2,85,3,2.39,CN,1670423260
308,hasaki,35.7333,140.8333,278.37,48,87,5.73,JP,1670423261
309,petauke,-14.2426,31.3253,299.42,51,86,2.17,ZM,1670423261
310,nichinan,31.6,131.3667,281.66,72,0,2.29,JP,1670423053
311,hambantota,6.1241,81.1185,298.34,100,20,0.51,LK,1670423261
312,uinskoye,56.8817,56.5813,254.75,97,86,3.4,RU,1670423262
313,kalachinsk,55.0529,74.5751,253.52,99,51,2.42,RU,1670423262
314,evansville,37.9748,-87.5558,283.25,97,100,1.54,US,1670423262
315,barpali,21.2,83.5833,291.12,36,30,0.89,IN,1670423263
316,nuuk,64.1835,-51.7216,273.49,93,100,16.46,GL,1670423263
317,arrifes,37.7667,-25.7,287.29,82,75,14.92,PT,1670423263
318,dmytrivka,45.9717,28.9864,280.39,80,100,3.01,UA,1670423264
319,mount gambier,-37.8333,140.7667,284.14,53,82,5.43,AU,1670423264
320,tucupita,9.0622,-62.051,300.87,65,96,1.66,VE,1670423264
321,airdrie,55.866,-3.9803,277.04,83,4,1.73,GB,1670423264
322,janakpur,26.7183,85.9065,291.25,56,0,1.86,NP,1670423265
323,sisimiut,66.9395,-53.6735,271.78,72,100,7.34,GL,1670423265
324,vila velha,-20.3297,-40.2925,298.12,94,100,4.12,BR,1670423018
325,kuytun,54.3419,101.5036,262.67,81,100,5.59,RU,1670423265
326,cabra,37.4725,-4.4421,289.8,50,100,2.12,ES,1670423266
327,marsa matruh,31.3525,27.2453,295.26,37,0,6.17,EG,1670423266
328,carire,-3.9506,-40.4733,307.2,28,96,3.35,BR,1670423266
329,aras,42.5617,-2.356,285.39,62,20,1.03,ES,1670423267
330,mitsamiouli,-11.3847,43.2844,300.44,74,43,2.57,KM,1670423267
331,khuzhir,53.1939,107.3397,264.7,65,100,6.74,RU,1670423267
332,raudeberg,61.9875,5.1352,273.13,55,49,0.81,NO,1670423268
333,bielsk podlaski,52.7651,23.1865,273.53,98,100,5.77,PL,1670423268
334,aykhal,66.0,111.5,245.97,100,100,2.25,RU,1670423268
335,abdanan,32.9926,47.4198,286.3,45,2,1.37,IR,1670423268
336,meulaboh,4.1363,96.1285,298.63,84,100,2.81,ID,1670423269
337,kangaatsiaq,68.3065,-53.4641,270.71,79,100,5.38,GL,1670423269
338,labuan,5.2767,115.2417,299.35,94,40,1.03,MY,1670423269
339,bathsheba,13.2167,-59.5167,302.49,80,40,1.03,BB,1670423270
340,gus-zheleznyy,55.0581,41.1656,263.63,77,4,4.34,RU,1670423270
341,nosy varika,-20.5833,48.5333,299.57,72,59,3.86,MG,1670423270
342,aripuana,-9.1667,-60.6333,303.32,60,89,1.65,BR,1670423271
343,albox,37.3886,-2.1495,291.66,57,56,1.96,ES,1670423271
344,moron de la frontera,37.1208,-5.454,287.82,83,40,2.57,ES,1670423271
345,emba,48.8264,58.1442,257.24,84,12,3.16,KZ,1670423271
346,killybegs,54.6333,-8.45,278.99,68,100,4.78,IE,1670423272
347,mayna,54.1135,47.6231,260.58,90,15,3.13,RU,1670423272
348,katsuura,35.1333,140.3,284.32,61,70,3.5,JP,1670423272
349,severo-kurilsk,50.6789,156.125,272.17,81,100,4.82,RU,1670423273
350,quelimane,-17.8786,36.8883,304.12,58,40,8.23,MZ,1670423273
351,bonavista,48.6499,-53.1147,275.76,93,100,3.87,CA,1670423273
352,hithadhoo,-0.6,73.0833,300.3,79,80,4.7,MV,1670423273
353,tocopilla,-22.092,-70.1979,294.24,69,89,2.54,CL,1670423274
354,saldanha,-33.0117,17.9442,296.18,66,0,5.18,ZA,1670423274
355,fasa,28.9383,53.6482,282.73,93,75,0.0,IR,1670423274
356,dodge city,37.7528,-100.0171,273.83,80,0,2.06,US,1670423187
357,beringovskiy,63.05,179.3167,260.78,64,0,5.33,RU,1670423275
358,puntarenas,9.9763,-84.8384,298.9,73,5,1.01,CR,1670423275
359,tazovskiy,67.4667,78.7,261.48,94,100,7.14,RU,1670423275
360,apricena,41.7839,15.4437,289.2,66,18,2.45,IT,1670423276
361,chicama,-7.8447,-79.1469,291.45,71,75,2.69,PE,1670423276
362,aberfoyle,-30.2667,152.0167,284.54,93,71,2.79,AU,1670423276
363,kamaishi,39.2667,141.8833,277.68,86,94,2.26,JP,1670423277
364,zheleznodorozhnyy,55.7503,38.0042,263.95,81,7,5.8,RU,1670423277
365,sampit,-2.5333,112.95,296.87,97,74,1.31,ID,1670423277
366,ayan,56.45,138.1667,252.65,69,45,5.07,RU,1670423277
